name,city,phone,postal code,street,region,website,email,country,zone
DG Bicycles,Indianapolis,(317) 257-2453,46240,1407 East 86th Street,IN,,,USA,USA
Bicycle Garage Indy,Indianapolis,(800) 238-7389,46205,4130 E 82nd Street,IN,,,USA,USA
Arcadian Shop,Lenox,(413) 637-3010,1240,91 Pittsfield Rd,MA,,,USA,USA
Pinnacle Bikes,Beverly,(978) 922-7722,1915,45 Enon Street,MA,,,USA,USA
Bike Works,Swansea,(508) 677-0710,2777,179 Swansea Mall Drive,MA,,,USA,USA
Cycle to Fitness,Livonia,(734) 266-8203,48150,10960 Farmington Rd,MI,,,USA,USA
Bath Cycle and Ski,Woolwich,(207) 442-7002,4579,115 Main Street,ME,,,USA,USA
REI Timonium,Timonium,(410) 252-5920,21093,63 W Aylesbury Rd,MD,,,USA,USA
REI Rockville,Rockville,(301) 230-7670,20852,1701 Rockville Pike,MD,,,USA,USA
REI Columbia,Columbia,(410) 872-1742,21045,6100 Dobbin Rd,MD,,,USA,USA
REI College Park,College Park,(301) 982-9681,20740,9801 Rhode Island Ave,MD,,,USA,USA
Serge Performance Cycles,Lexington Park,(301) 737-0045,20653,21540 Great Mills Road,MD,,,USA,USA
The Bicycle Link,Weymouth,(781) 337-7125,2188,230 Washington Street,MA,,,USA,USA
Beverly Cycles,Beverly,(978) 338-5663,1915,132 Dodge St # 1,MA,,,USA,USA
Quad Cycles,Arlington,(781) 648-5222,2474,1043 Massachusetts Avenue,MA,,,USA,USA
REI Reading,Reading,(781) 944-5103,1867,279 Salem St,MA,,,USA,USA
REI Hingham,Hingham,(781) 740-9430,2043,"98 Derby St, Suite 470",MA,,,USA,USA
REI Framingham,Framingham,(508) 270-6325,1701,375 Cochituate Rd,MA,,,USA,USA
REI Boston,Boston,(617) 236-0746,2215,401 Park Dr,MA,,,USA,USA
Peterson's Bike Shop,Raynham,(508) 880-8851,2767,421 Route 44,MA,,,USA,USA
ATA Cycle,Concord,(978) 369-5960,1742,93 Thoreau St,MA,,,USA,USA
Custer Cyclery,Augusta,(269) 731-3492,49012,104 North Augusta Drive,MI,,,USA,USA
REI Schaumburg,Schaumburg,(847) 619-6729,60173,1209 East Golf Road,IL,,,USA,USA
Broadway Bicycle,Baltimore,(410) 276-8266,21231,415-417 South Broadway,MD,,,USA,USA
Get A Grip,Chicago,(773) 427-4747,60641,4359 W Irving Park Rd,IL,,,USA,USA
Champaign Cycle,Champaign,(217) 352-7600,61821,506 South Country Fair Drive,IL,,,USA,USA
Dj's Bike Doctor,Chicago,(773) 955-4400,60615,1500 East 55th Street,IL,,,USA,USA
Wild Trak Bikes,Alton,(618) 462-2574,62002,1001 East Broadway,IL,,,USA,USA
Cycles-N-Sports,Worth,(708) 361-0440,60482,6559 West 111th Street,IL,,,USA,USA
Wheels And Thrills,Blackfoot,(208) 785-7433,83221,61 N Broadway St,ID,,,USA,USA
Meridian Cycles,Meridian,(208) 884-1613,83642,830 N Main St,ID,,,USA,USA
REI Boise,Boise,(208) 322-1141,83704,8300 W Emerald St,ID,,,USA,USA
Joyride Cycles,Boise,(208) 947-0017,83702,1306 Alturas Street,ID,,,USA,USA
Bob's Bicycles,Boise,(800) 554-2627,83704,6681 West Fairview Avenue,ID,,,USA,USA
Best Bikes n Boards,Coeur d'Alene,(208) 665-7669,83814,802 East Best Avenue,ID,,,USA,USA
Ken's Bicycle Warehouse,Boise,(208) 376-9240,83709,10470 W Overland Rd,ID,,,USA,USA
Paradise Creek Bicycles,Moscow,(208) 882-0703,83843,513 South Main Street,ID,,,USA,USA
Salmon Idaho Cyclery,Salmon,(208) 756-7645,83467,705 South Daisy St,ID,,,USA,USA
Revolution Cycles,Rockville,(301) 424-0990,20852,1066 Rockville Pike,MD,,,USA,USA
Race Pace Bicycles,Owings Mills,(410) 581-9700,21117,9930 Reisterstown Road,MD,,,USA,USA
Joie De Velo,Lake Bluff,(847) 283-0999,60044,999 Sherwood Drive,IL,,,USA,USA
Irv's Bike Shop,Chicago,(312) 226-6330,60608,1725 South Racine Avenue,IL,,,USA,USA
REI Oakbrook Terrace,Oakbrook Terrace,(630) 574-7700,60181,17W160 22nd St,IL,,,USA,USA
REI Northbrook,Northbrook,(847) 480-1938,60062,888 Willow Road,IL,,,USA,USA
REI Lincoln Park,Chicago,(312) 951-6020,60642,1466 North Halsted Street,IL,,,USA,USA
Bike Chicago,Chicago,(312) 595-9600,60657,3240 N Sheffield Avenue # 1,IL,,,USA,USA
Park Schwinn Cyclery,Evergreen Park,(708) 422-6738,60805,3333 West 95th Street,IL,,,USA,USA
Iron Cycles,Chicago,(773) 539-4766,60625,3136 W Montrose Ave,IL,,,USA,USA
Bike Connection,Schaumburg,(847) 882-7728,60195,1226 North Roselle Road,IL,,,USA,USA
Circus Skatepark,Charles,(630) 584-8886,60174,3489 Swenson Ave. St,IL,,,USA,USA
Zion Cyclery,Zion,(847) 746-2200,60099,2750 Sheridan Road,IL,,,USA,USA
Orland Park Cyclery,Orland Park,(708) 460-2999,60462,14445 John Humphrey Drive,IL,,,USA,USA
The Bike Shop Glen Ellyn,Glen Ellyn,(630) 793-4030,60137,495 N Main St,IL,,,USA,USA
Smart Bike Parts,Chicago,(773) 384-3010,60647,3031 West Armitage Avenue,IL,,,USA,USA
Running Away Multisport,Deerfield,(847) 945-2929,60015,800 Waukegan Rd,IL,,,USA,USA
Rockford Bicycle Co,Loves Park,(815) 636-0664,61111,4169 North Perryville Road,IL,,,USA,USA
Turn Of The Wheel,Bradley,(815) 933-9152,60915,404 West Broadway Street,IL,,,USA,USA
Village Cycle Center,Chicago,(312) 751-2488,60610,1337 N. Wells St,IL,,,USA,USA
Little Ades Bicycles,Pekin,(309) 346-3900,61554,305 North 5th Street,IL,,,USA,USA
Speed Merchants,Rockford,(616) 866-2226,49341,106 E Bridge St,MI,,,USA,USA
Evergreen Cycles and Repair,East Lansing,(517) 337-2453,48823,314 Evergreen Avenue,MI,,,USA,USA
Bikes Blades and Boards,Grosse Pointe Park,(313) 885-1300,48230,17020 Mack Avenue,MI,,,USA,USA
Velocipede Peddler,East Lansing,(517) 351-7240,48823,2758 East Grand River Avenue,MI,,,USA,USA
D & D Bicycle & Fitness,Westland,(734) 522-9410,48185,8383 North Middlebelt Road,MI,,,USA,USA
Brick Wheels,Traverse City,(231) 947-4274,49686,736 East 8th Street,MI,,,USA,USA
Alfred E. Bike,Kalamazoo,(269) 349-9423,49007,320 East Michigan Avenue,MI,,,USA,USA
B-xtreme Cycle,Midland,(989) 835-1098,48640,605 Maples St,MI,,,USA,USA
Bike Shop Up,Houghton,(906) 487-9500,49931,52 Huron Street,MI,,,USA,USA
Striders,Grandville,(616) 261-9706,49418,4045 Chicago Drive Southwest,MI,,,USA,USA
Freewheeler Bike Shop,Wyoming,(616) 451-8011,49509,4145 Michael Ave Sw,MI,,,USA,USA
Rock 'n' Road Cycle,Grand Haven,(616) 846-2800,49417,300 North 7th Street,MI,,,USA,USA
Slingshot Bicycle Company,Grand Rapids,(616) 233-6813,49503,342 Market Ave SW # 200,MI,,,USA,USA
Island Park Cycles,Fargo,(701) 280-1796,58102,425 Broadway N,ND,,,USA,USA
REI Asheville,Asheville,(828) 687-0918,28803,31 Schenck Parkway,NC,,,USA,USA
REI Raleigh,Raleigh,(919) 571-5031,27609,4291 The Circle at North Hills,NC,,,USA,USA
Performance Inc.,Chapel Hill,(919) 933-9113,27517,144 Old Lystra Road,NC,,,USA,USA
Epic Cycles,Black Mountain,(828) 669-5969,28711,102 Sutton Avenue,NC,,,USA,USA
Bicycles East,Matthews,(704) 814-7433,28105,195 N Trade St,NC,,,USA,USA
Carolina Fatz,Asheville,(828) 665-7744,28806,1240 Brevard Road #3,NC,,,USA,USA
Bike Depot of Waxhaw,Waxhaw,(704) 256-4126,28173,122 West North Main Street,NC,,,USA,USA
Cycletherapy,Lewisville,(336) 712-2862,27023,1347 Lewisville Clemmons Road,NC,,,USA,USA
Bike Cycles,Wilmington,(910) 256-2545,28405,6801 Parker Farm Dr #145,NC,,,USA,USA
Liberty Bicycles,Asheville,(828) 274-2453,28803,1378 Hendersonville Road,NC,,,USA,USA
Two Wheeler Dealer,Wilmington,(910) 799-6444,28403,4408 Wrightsville Avenue,NC,,,USA,USA
Bicycle Toy and Hobby,High Point,(336) 887-1933,27262,2000 North Main Street,NC,,,USA,USA
REI Cary,Cary,(919) 233-8444,27518,255 Crossroads Blvd,NC,,,USA,USA
REI Charlotte,Charlotte,(704) 921-0320,28216,9755 Northlake Centre Pkwy.,NC,,,USA,USA
Spinz Bike Shop,High Point,(336) 861-6480,27263,3029 South Main Street,NC,,,USA,USA
Carolina Bicycle Company,Huntersville,(704) 766-0111,28078,311 Gilead Road,NC,,,USA,USA
Recycles Bike Shop,Greensboro,(336) 420-2569,27403,908a Spring Garden Street,NC,,,USA,USA
Hawley's Bicycle World,Fayetteville,(910) 425-3145,28304,4784 Raeford Road,NC,,,USA,USA
The Cycle Path,Cornelius,(704) 896-3331,28031,20900 North Main Street,NC,,,USA,USA
Clemmons Bicycle,Clemmons,(336) 766-5564,27012,2703 Lewisville Clemmons Road,NC,,,USA,USA
Queen City Bicycles,Charlotte,(704) 522-7006,28203,1408 East Boulevard,NC,,,USA,USA
Bicycle Sport,Charlotte,(704) 335-0323,28209,2916 Selwyn Ave # A,NC,,,USA,USA
South Park Cycles,Charlotte,(704) 522-7006,28217,5121 South Blvd,NC,,,USA,USA
REI Pineville,Pineville,(704) 341-7405,28134,11067 Carolina Place Parkway,NC,,,USA,USA
REI Greensboro,Greensboro,(336) 323-3117,27410,"3334 West Friendly Avenue, Suite 140",NC,,,USA,USA
REI Durham,Durham,(919) 806-3442,27713,6911 Fayetteville Road,NC,,,USA,USA
Cycles De Oro,Greensboro,(336) 274-5959,27408,1410 Mill Street #100,NC,,,USA,USA
Uptown Cycles,Charlotte,(704) 632-7440,28208,1432 West Morehead Street,NC,,,USA,USA
REI Ann Arbor,Ann Arbor,(734) 827-1938,48103,970 West Eisenhower Parkway,MI,,,USA,USA
Springfield Bicycle,Springfield,(417) 883-8100,65807,3201 South Campbell Avenue,MO,,,USA,USA
Bicycle Shack,Kansas City,(816) 761-3233,64134,10415 Blue Ridge Boulevard,MO,,,USA,USA
Bike Stop Bicycle Stores,Lee's Summit,(816) 525-8686,64081,248 Northwest Oldham Parkway,MO,,,USA,USA
Freewheel Bike,Minneapolis,(612) 339-2219,55454,1812 South 6th Street,MN,,,USA,USA
REI Maple Grove,Maple Grove,(763) 493-7861,55369,11581 Fountains Drive,MN,,,USA,USA
The Hub Bike Co-Op,Minneapolis,(612) 729-0437,55406,3020 Minnehaha Avenue,MN,,,USA,USA
Trail Cycle,Forest Lake,(651) 464-5664,55025,836 Lake Street South,MN,,,USA,USA
Penn Cycle,Bloomington,(952) 888-1427,55437,3916 West Old Shakopee Road,MN,,,USA,USA
Erik's Bike Shop,Bloomington,,55431,9201 PENN AVE S,MN,,,USA,USA
Twin Ports Cyclery,Duluth,(218) 624-4008,55806,2914 West 3rd Street,MN,,,USA,USA
Hollywood Cycles,Minneapolis,(952) 881-4707,55420,722 West 98th Street,MN,,,USA,USA
Allied Cycle Shop,Eastpointe,(586) 772-3411,48021,23101 Gratiot Ave,MI,,,USA,USA
REI Troy,Troy,(248) 689-4402,48083,766 E Big Beaver Rd,MI,,,USA,USA
REI Northville,Northville,(248) 347-2100,48168,17559 Haggerty Rd,MI,,,USA,USA
Revolution Cycles,Washington,(636) 390-9999,63090,22 Whispering Oaks Dr,MO,,,USA,USA
Epic Adventure Outpost,St Robert,(573) 336-8880,65584,690 Missouri Ave Ste 4,MO,,,USA,USA
The Hub Bicycle Company,St. Louis,(314) 963-0300,63119,40 West Lockwood Avenue,MO,,,USA,USA
Glacier Cyclery,Whitefish,(406) 862-6446,59937,326 2nd St E,MT,,,USA,USA
REI Bozeman,Bozeman,(800) 426-4840,59718,2220 Tschache Street,MT,,,USA,USA
REI Missoula,Missoula,(406) 829-0432,59808,3275 N Reserve St,MT,,,USA,USA
Windsong Bicycle Shop,Salisbury,(704) 637-6955,28147,2702 South Main Street,NC,,,USA,USA
Coastal Bike Supply,Wendell,(919) 366-1900,27591,422 Old Wilson Road,NC,,,USA,USA
Bicycle Post,Greenville,(252) 756-3301,27858,215 E Arlington Blvd,NC,,,USA,USA
The Right Gear,Kannapolis,(704) 786-2453,28083,863 Cloverleaf Plz,NC,,,USA,USA
REI St. Louis,St. Louis,(314) 918-1004,63144,1703 S Brentwood Blvd.,MO,,,USA,USA
Bike Junkie,Bethpage,(516) 932-7271,11714,272 Broadway # 3,NY,,,USA,USA
Manny Bike Shop,New York,(212) 927-8501,10033,8 Bennett Ave #8,NY,,,USA,USA
Towpath Bike Shop,Pittsford,(585) 381-2808,14534,3 Schoen Place,NY,,,USA,USA
Tread Bike Shop,New York,(212) 544-7055,10034,225 Dyckman Street,NY,,,USA,USA
Aspen Creek Cycling,Henderson,(702) 893-2453,89012,"Ste E, 1550 West Horizon Ridge Parkway",NV,,,USA,USA
REI Henderson,Henderson,(702) 896-7111,89052,2220 Village Walk Drive Suite 150,NV,,,USA,USA
REI Las Vegas-Boca Park,Las Vegas,(702) 951-4488,89145,710 S Rampart Blvd,NV,,,USA,USA
REI Reno,Reno,(775) 828-9090,89502,2225 Harvard Way,NV,,,USA,USA
Reno Cycling and Fitness,Reno,(775) 826-0803,89511,5260 Longley Lane,NV,,,USA,USA
The Bicycle Rack,New Paltz,(845) 255-1770,12561,13 North Front Street,NY,,,USA,USA
Sid's Bike Shop,New York,(212) 213-8360,10016,235 East 34th Street,NY,,,USA,USA
Brands Cycle and Fitness,Wantagh,(800) 649-3739,11793,1966 Wantagh Avenue,NY,,,USA,USA
Handlebars Cycle Co,Buffalo,(716) 835-0334,14223,685 Englewood Avenue,NY,,,USA,USA
Bikeway Inc,Wappingers Falls,(845) 463-7433,12590,1581 New York 376,NY,,,USA,USA
Niagara Cycle Works,Lewistown,(716) 278-9599,14092,4682 Hickory,NY,,,USA,USA
9th Street Cycles,Brooklyn,(718) 768-2453,11215,375 9th Street,NY,,,USA,USA
Bike Stop,Astoria,(718) 278-2453,11103,37-19 28th Avenue,NY,,,USA,USA
Jamestown Cycle Shop,Jamestown,(716) 664-4112,14701,10 Harrison Street,NY,,,USA,USA
Cigi Bicycle Shop,Jackson Heights,(718) 457-1093,11372,9107 37th Avenue,NY,,,USA,USA
Sapel Bicycles,Brooklyn,(718) 646-9430,11235,2679 Coney Island Ave.,NY,,,USA,USA
Peak Mountain Bike Pro Shop,Douglaston,(718) 225-5119,11363,42-42 235th Street,NY,,,USA,USA
Bikeworks,Greenvale,(516) 484-4422,11548,7 Northern Blvd # B,NY,,,USA,USA
Toga Bike Shop,New York,(212) 799-9625,10023,110 W End Ave # 1,NY,,,USA,USA
Sunrise Tri,West Babylon,(631) 587-6200,11704,520 Sunrise Highway,NY,,,USA,USA
Overlook Mountain Bikes,Woodstock,(845) 679-2122,12498,93 Tinker St,NY,,,USA,USA
Gotham Bikes,New York,(212) 732-2453,10013,112 West Broadway,NY,,,USA,USA
Chelsea Bicycles Corporation,New York,(646) 230-7715,10001,130 West 26th Street,NY,,,USA,USA
Biker Bob,Hamilton,(513) 523-1316,45013,800 State Rd,OH,,,USA,USA
Rocky Point Cycle,Rocky Point,(631) 744-5372,11778,664 Route 25A,NY,,,USA,USA
Toga Bike Shop,Nyack,(845) 358-3455,11778,530 N HIGHLAND AVE,NY,,,USA,USA
Cycle Fast USA,Huntington Station,(631) 271-0800,11746,643 East Jericho Turnpike,NY,,,USA,USA
Modsquad Cycles,New York,(212) 865-5050,10026,2119 Frederick Douglass Blvd.,NY,,,USA,USA
Fulton Bicycles,Brooklyn,(718) 778-2887,11213,1580 Fulton Street,NY,,,USA,USA
Al's Cycle Solutions,New York,(212) 247-3300,10036,693 10th Ave,NY,,,USA,USA
Raber's Bike Shop,Millersburg,(330) 674-3186,44654,6515 Ohio 241,OH,,,USA,USA
Ernie's Bicycle Shop,Massillon,(330) 832-5111,44647,135 Lake Avenue Northwest,OH,,,USA,USA
Sid's Bikes,New York,(212) 989-1060,10011,151 W 19th St,NY,,,USA,USA
Strictly Bicycles,Fort Lee,(201) 944-7074,7024,2347 Hudson Terrace,NJ,,,USA,USA
REI Marlton,Marlton,(856) 810-1938,8053,501 Route 73 South,NJ,,,USA,USA
REI East Hanover,East Hanover,(973) 581-1938,7936,280 State Route 10,NJ,,,USA,USA
James Vincent Bicycles,North Bergen,(201) 869-1901,7047,8505 Bergenline Ave,NJ,,,USA,USA
Cycle Sport Inc,Park Ridge,(201) 391-5269,7656,1 Hawthorne Avenue,NJ,,,USA,USA
Highland Mountain Bike Park,Northfield,(603) 286-7677,3276,75 Ski Hill Drive,NE,,,USA,USA
The Bike Way,Omaha,(402) 392-2390,68144,15115 Industrial Road,NE,,,USA,USA
Recycle Bike Shop,Omaha,(402) 344-7253,68106,4521 Krug Ave,NE,,,USA,USA
Fat Tire Cycles,Albuquerque,(505) 345-9005,87107,421 Montano Rd NE # B,NM,,,USA,USA
REI Bloomington,Bloomington,(952) 884-4315,55420,750 W American Blvd,NM,,,USA,USA
We Keep You Cycling,Reno,800-940-9592,89502,3207 S Virginia St G12 #308,NV,,,USA,USA
Bike Shop,Henderson,(702) 897-1618,89074,2578 Wigwam Parkway,NV,,,USA,USA
All Mountain Cyclery,Boulder City,(702) 453-2453,89005,1404 Nevada Hwy Ste C,NV,,,USA,USA
Pro Cyclery,Las Vegas,(702) 228-9460,89117,7034 West Charleston Boulevard,NV,,,USA,USA
Bicycle Bananas,Reno,(775) 747-1413,89523,5110 Mae Anne Avenue Suite #702,NV,,,USA,USA
Las Vegas Cyclery,Las Vegas,(702) 596-2953,89117,8221 West Charleston Boulevard,NV,,,USA,USA
Bike King,Las Vegas,(702) 438-4113,89139,7645 S Rainbow Blvd Ste 100.,NV,,,USA,USA
Cycle Cave,Albuquerque,(505) 884-6607,87110,5716 Menaul Boulevard Northeast,NM,,,USA,USA
Erik's Bike and Board Shop,Bloomington,(852) 886-0800,55431,9201 Penn Ave. S. #1,MN,,,USA,USA
Mellow Velo,Santa Fe,(505) 995-8356,87505,621 Old Santa Fe Trail,NM,,,USA,USA
REI Santa Fe,Santa Fe,(505) 982-3557,87501,"500 Market Street, Suite 100",NM,,,USA,USA
REI Albuquerque,Albuquerque,(505) 247-1191,87107,1550 Mercantile Ave NE,NM,,,USA,USA
The Great Escape Bicycles,Spartanburg,(864) 574-5273,29301,105 Franklin Avenue,SC,,,USA,USA
Rock Hill Bike Shop,Rock Hill,(803) 980-7427,29732,1636 Ebenezer Road,SC,,,USA,USA
The Bicycle Shoppe,Charleston,(843) 722-8168,29401,280 Meeting Street,SC,,,USA,USA
The Great Escape Bicycles,Greenville,(864) 235-8320,29607,1426 Laurens Rd,SC,,,USA,USA
Glory Cycles,Greenville,(803) 334-4162,29601,200 Westfield Street,SC,,,USA,USA
The Great Escape Bicycles,Anderson,(864) 226-4579,29621,2714 N Main St,SC,,,USA,USA
Bicycles-N-Gear,Myrtle Beach,(843) 626-2453,29577,515 Highway 501 Ste C,SC,,,USA,USA
Bike Worx,Spartanburg,(864) 542-2453,29302,1321 Union Street,SC,,,USA,USA
South Lake Cycles,Lexington,(803) 359-2925,29073,1223-G South Lake Drive,SC,,,USA,USA
The Bicycle Shop,State College,(814) 238-9422,16801,441 W College Ave,PA,,,USA,USA
Velo Europa,Haverford,(610) 896-0388,19041,153 Allgates Dr,PA,,,USA,USA
Genesis Bicycles,Easton,(610) 253-1140,18042,126 Bushkill Street,PA,,,USA,USA
Cutters Bike Shop,Bethlehem,(610) 419-4027,18015,418 E 3rd St,PA,,,USA,USA
REI Conshohocken/Plymouth Meeting,Conshohocken,(610) 940-0809,19428,200 W Ridge Pike Ste 115,PA,,,USA,USA
REI Pittsburgh,Pittsburgh,(412) 488-9410,15203,412 S. 27th Street,PA,,,USA,USA
REI Pittsburgh - Settlers Ridge,Pittsburgh,(412) 747-1180,15205,600 Settlers Ridge Center Dr.,PA,,,USA,USA
Pedal Power Bicycle Shop,Middletown,(401) 846-7525,2842,879 West Main Road,RI,,,USA,USA
REI Cranston,Cranston,(401) 275-5250,2920,22 Chapel View Boulevard,RI,,,USA,USA
Harrell's Bicycle World,Columbia,(803) 798-2020,29210,2515 Broad River Road,SC,,,USA,USA
Outspokin Bicycles,Columbia,(803) 254-9797,29205,3223 Devine Street,SC,,,USA,USA
REI Brentwood,Brentwood,(615) 376-4248,37027,261 Franklin Rd,TN,,,USA,USA
Outdoors Inc,Memphis,(901) 324-2506,38122,610 National Street,TN,,,USA,USA
The Bike Shop,Johnson City,(423) 926-2453,37601,3208 Bristol Highway,TN,,,USA,USA
Bikes Plus,Memphis,(901) 385-8788,38133,7780 US Highway 64 # 108,TN,,,USA,USA
Cedar Bluff Cycles,Knoxville,(865) 692-1010,37922,9282 Kingston Pike,TN,,,USA,USA
Trailhead Bicycle Company,Cleveland,(423) 472-9899,37311,225 1st St NE,TN,,,USA,USA
Fitness,Rapid City,(605) 343-0524,57701,100 E Blvd North,SD,,,USA,USA
Rushmore Bicycles,Spearfish,(605) 642-2885,57783,505 North Main Street,SD,,,USA,USA
Suck Creek Cycles,Chattanooga,(423) 266-8883,37405,319 Cherokee Blvd,TN,,,USA,USA
West Bicycles,Knoxville,(865) 671-7591,37934,11531 Kingston Pike,TN,,,USA,USA
Sunshine Cycle Shop,Greenville,(864) 244-2925,29609,1826 North Pleasantburg Drive,SC,,,USA,USA
Bike To Nature,Lexington,(803) 808-3551,29072,5182 Sunset Blvd,SC,,,USA,USA
Cranky Jeff's,Rapid City,(605) 716-0826,57701,519 6th Street,SD,,,USA,USA
Acme Bicycles,Rapid City,(605) 343-9534,57702,1727 W Main St,SD,,,USA,USA
Saucon Valley Bikes,Hellertown,(610) 838-1500,18055,824 Main Street,PA,,,USA,USA
Harper's Bike Shop,Knoxville,(865) 588-5744,37919,118 South Northshore Drive,TN,,,USA,USA
Owen Cyclery,Hixson,(423) 875-6811,37343,1920 Northpoint Boulevard,TN,,,USA,USA
The Bikers Choice,Hendersonville,(615) 822-2512,37075,709 West Main Street,TN,,,USA,USA
Eastside Cycles,Nashville,(615) 469-1079,37206,103 South 11th Street,TN,,,USA,USA
Abington Wheel Wright Bike Shop,Abington,(215) 884-6331,19001,1120 Old York Road,PA,,,USA,USA
Ride On Bicycles,Greenville,(864) 284-0040,29607,1616 Woodruff Road,SC,,,USA,USA
Fat Tire Farm,Portland,(503) 222-3276,97210,2714 Northwest Thurman Street,OR,,,USA,USA
Sunnyside Sports,Bend,(541) 382-8018,97701,930 Northwest Newport Avenue,OR,,,USA,USA
Collins Cycle Shop,Eugene,(541) 342-4878,97401,60 East 11th Avenue,OR,,,USA,USA
Cycle Path - Portland,Portland,(503) 281-0485,97212,2436 Northeast M L King Boulevard,OR,,,USA,USA
Tom's Rivertrail,Tulsa,(918) 481-1818,73102,6861 South Peoria Avenue,OK,,,USA,USA
Schlegel Bicycles,Oklahoma City,(405) 232-4040,73102,900 North Broadway,OK,,,USA,USA
XSportsProtective,Chagrin Falls,(800) 930-4084,44023,"7207 Chagrin Road, Suite 1",OH,,,USA,USA
Bike Nashbar,Canfield,,44406,6103 State Route 446,OH,,,USA,USA
G T Wheels,Findlay,(419) 423-2665,45840,229 South Main Street,OH,,,USA,USA
Outdoor Recreational Equipment,Youngstown,(330) 782-2004,44512,5316 Market Street,OH,,,USA,USA
Carolina Triathlon,Greenville,(864) 331-8483,29601,928 S Main St,SC,,,USA,USA
Universal Cycles,Portland,(800) 936-5156,97214,2202 E. Burnside St.,OR,,,USA,USA
National Velo,Pittsburgh,(724) 941-5329,15205,6514 Steubenville Pike,PA,,,USA,USA
Competitive Gear,Erie,(814) 833-8274,16505,3501 W 12th St,PA,,,USA,USA
Freeze Thaw Cycles,State College,(814) 272-0178,16801,109 South Allen Street,PA,,,USA,USA
Iron City Bikes,Pittsburgh,(412) 681-1310,15213,331 South Bouquet Street,PA,,,USA,USA
JB Mountain Bikes,Shillington,(610) 777-5253,19607,211 West Lancaster Avenue,PA,,,USA,USA
Scholls Bikes,West View,(412) 931-6711,15229,649 Center Avenue,PA,,,USA,USA
Rothrock Outfitters,Huntingdon,(814) 643-7226,16652,418 Penn Street,PA,,,USA,USA
REI Tualatin,Tigard,(503) 624-8600,97224,7410 SW Bridgeport Rd,OR,,,USA,USA
REI Portland,Portland,(503) 221-1938,97209,1405 Northwest Johnson Street,OR,,,USA,USA
REI Hillsboro,Hillsboro,(503) 617-6072,97124,2235 NW Allie Avenue,OR,,,USA,USA
REI Eugene,Eugene,(541) 465-1800,97401,306 Lawrence St,OR,,,USA,USA
REI Clackamas,Portland,(503) 659-1156,97086,12160 SE 82nd Avenue,OR,,,USA,USA
REI Bend,Bend,(541) 385-0594,97702,380 Powerhouse Dr.,OR,,,USA,USA
Fort Worth Cycling and Fitness,Fort Worth,(817) 244-7911,76116,3315 South Cherry Lane,TX,,,USA,USA
Sun Country Bicycles,Temple,(254) 771-2004,76504,1719 W Avenue M Ste C,TX,,,USA,USA
Dallas Bike Works,Dallas,(214) 343-2453,75214,4875 West Lawther Drive,TX,,,USA,USA
Bike Masters,Mission,(956) 682-2453,78572,2801 East Griffin Parkway,TX,,,USA,USA
Colonel's Bicycles,Fort Worth,(817) 924-1333,76109,3053 South University Drive,TX,,,USA,USA
North Texas Bikes,Aubrey,(972) 347-5337,76227,26772 US Highway 380 E # C,TX,,,USA,USA
Broadway Bikes,Lubbock,(806) 749-2453,79401,2420 Broadway # A,TX,,,USA,USA
Bicycles Outback,Waco,(254) 772-2453,76710,4707 West Waco Drive,TX,,,USA,USA
Bay Area Bicycles,Corpus Christi,(361) 993-7000,78412,6020 S Padre Island Dr,TX,,,USA,USA
Bicycle World of West U,Houston,(713) 529-0140,77005,2519 Rice Blvd,TX,,,USA,USA
Knobbies and Slicks,Colleyville,(817) 281-4957,76034,8300 Precinct Line Road #110,TX,,,USA,USA
Bicycles Plus,Flower Mound,(214) 513-2604,75022,1901 Long Prairie Rd # 104,TX,,,USA,USA
Elite Bicycles of Tyler,Tyler,(903) 534-9998,75701,610 Shelley dr.,TX,,,USA,USA
REI Austin-Gateway,Austin,(512) 343-5550,78759,9901 N Capitol of Texas Hwy,TX,,,USA,USA
REI Austin-Downtown,Austin,(512) 482-3357,78703,601 N. Lamar Blvd,TX,,,USA,USA
REI Dallas,Dallas,(972) 490-5989,75244,4515 Lbj Fwy,TX,,,USA,USA
REI Houston-Galleria,Houston,(713) 353-2582,77063,7538 Westheimer Rd,TX,,,USA,USA
REI Houston-Willowbrook,Houston,(832) 237-8833,77064,17717 Tomball Parkway,TX,,,USA,USA
REI Round Rock,Round Rock,(512) 255-1938,78664,201 University Oaks Blvd #1100,TX,,,USA,USA
DFC Cycles,Lubbock,(806) 796-2453,79413,6701 Indiana Ave # D,TX,,,USA,USA
West End Bicycles,Houston,(713) 861-2271,77007,5427 Blossom,TX,,,USA,USA
Bike World,San Antonio,(210) 828-5558,78209,5911 Broadway,TX,,,USA,USA
Blackwater Bike Shop,Lynchburg,(434) 385-7047,24502,18869 Forest Road,VA,,,USA,USA
REI Bailey's Crossroads,Baileys Crossroads,(703) 379-9400,22041,3509 Carlin Springs Rd,VA,,,USA,USA
REI Fairfax,Fairfax,(571) 522-6568,22030,11950 Grand Commons Ave,VA,,,USA,USA
REI Richmond-Short Pump,Glen Allen,(804) 360-1381,23060,2020 Old Brick Rd.,VA,,,USA,USA
Skirack,Burlington,(800) 882-4530,5401,85 Main Street,VT,,,USA,USA
Gregg's Greenlake Cycle,Seattle,(206) 523-1822,98115,7007 Woodlawn Ave NE,WA,,,USA,USA
